fiscal_year,rank,recipient_name,recipient_uei,obligations
2021,1,PFIZER INC,MHBQULRMEEJ5,13320343916.47
2021,2,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,10552578708.19
2021,3,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",XMUZGJN98231,8873807086.04
2021,4,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,8680217652.07
2021,5,MCKESSON CORPORATION,S1RUKWWRYFL6,7666924229.82
2021,6,"MODERNATX, INC.",WJYNZ8AK2D47,7355705232.66
2021,7,THE BOEING COMPANY,WZWRLY4G3PL8,7296609401.29
2021,8,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,7144989965.72
2021,9,TRIWEST HEALTHCARE ALLIANCE CORP,J7M9HPTGJ1S9,6738577676.67
2021,10,THE BOEING COMPANY,JJM4FRDZJDX1,5993540941.45
2021,11,RAYTHEON COMPANY,VTEWM5QSE598,5906908641.19
2021,12,REGENERON PHARMACEUTICALS INC,N3F9MH7E6HD6,5565148228.56
2021,13,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,5062134201.78
2021,14,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,4940112362.0
2021,15,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,4668906591.53
2021,16,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",LUJEPCRRT377,4265778108.27
2021,17,"TRIAD NATIONAL SECURITY, LLC",X7WUS5LRBQU3,3955937323.52
2021,18,RTX CORPORATION,QN1BCFY7JDJ5,3701330806.69
2021,19,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,3632827749.84
2021,20,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,3303269463.3
2021,21,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,3229225270.07
2021,22,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,3053730430.75
2021,23,MCKESSON CORPORATION,JTAPCFM4NSL4,2968325418.91
2021,24,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,2900632435.5
2021,25,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,2872226321.24
2021,26,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",PM52LCJH72T9,2755442803.98
2021,27,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,2705890031.84
2021,28,THE BOEING COMPANY,SML4NN2CT556,2691035626.65
2021,29,"CONSOLIDATED NUCLEAR SECURITY, LLC",EWV8QKG1JUV7,2607717754.17
2021,30,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,2516719171.3
2021,31,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,2512169693.24
2021,32,BELL BOEING JOINT PROJECT OFFICE,JHFZTG8ZC9V2,2471926026.62
2021,33,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,2399356044.38
2021,34,LOCKHEED MARTIN CORP,SJDEB3MKJEW5,2374201693.79
2021,35,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,2355112845.12
2021,36,UT-BATTELLE LLC,ZLHJJ57QA2H8,2267030779.96
2021,37,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,2252563568.96
2021,38,LOCKHEED MARTIN CORPORATION,HJP4JZG1FUL9,2163099056.07
2021,39,OSHKOSH DEFENSE LLC,ZMXAHH8M8VL8,2158630235.87
2021,40,AMERISOURCEBERGEN DRUG CORP,KABZK8W6PQT3,2082410643.88
2021,41,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,2036120880.15
2021,42,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,2000472774.0
2021,43,GENERAL ELECTRIC COMPANY,E3HYKKLT5ZT1,1990314867.87
2021,44,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,1953672425.5
2021,45,LOCKHEED MARTIN CORP,CQWLW9XRQTH5,1951880075.82
2021,46,"LEIDOS, INC.",UE9QJD4KK1L6,1948235897.15
2021,47,ELI LILLY AND COMPANY,UHHVNTY54K68,1913730000.0
2021,48,ABBOTT RAPID DX NORTH AMERICA LLC,P782RNU1NNK3,1788569706.06
2021,49,RAYTHEON COMPANY,XSV6AZJ6SDJ7,1779980182.98
2021,50,LOCKHEED MARTIN CORPORATION,CWM4UN76ZQW8,1767828889.65
2022,1,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,17046093391.68
2022,2,PFIZER INC,MHBQULRMEEJ5,16670420204.64
2022,3,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",XMUZGJN98231,14525102355.09
2022,4,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,9426835904.21
2022,5,MCKESSON CORPORATION,S1RUKWWRYFL6,8364899572.95
2022,6,RTX CORPORATION,QN1BCFY7JDJ5,7982634805.06
2022,7,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,7739712977.71
2022,8,TRIWEST HEALTHCARE ALLIANCE CORP,J7M9HPTGJ1S9,7382751989.1
2022,9,RAYTHEON COMPANY,VTEWM5QSE598,7351535131.56
2022,10,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,7066100340.85
2022,11,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,5625237012.83
2022,12,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",LUJEPCRRT377,4311822808.01
2022,13,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,4094863178.37
2022,14,"TRIAD NATIONAL SECURITY, LLC",X7WUS5LRBQU3,3963962407.97
2022,15,GENERAL DYNAMICS LAND SYSTEMS INC.,HAWKSQF848W7,3954276191.28
2022,16,THE BOEING COMPANY,WZWRLY4G3PL8,3899174688.84
2022,17,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,3853597856.88
2022,18,"CONSOLIDATED NUCLEAR SECURITY, LLC",EWV8QKG1JUV7,3816510788.83
2022,19,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,3571465424.09
2022,20,"HEALTH NET FEDERAL SERVICES, LLC",F7NGF6NJFB96,3530805878.37
2022,21,LOCKHEED MARTIN CORP,FYHNA5WC8XD7,3479078639.18
2022,22,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,3445168140.63
2022,23,THE BOEING COMPANY,JJM4FRDZJDX1,3367092984.54
2022,24,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,3144938464.09
2022,25,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,2967123121.13
2022,26,MCKESSON CORPORATION,JTAPCFM4NSL4,2913488732.42
2022,27,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",PM52LCJH72T9,2801085581.98
2022,28,ELI LILLY AND COMPANY,UHHVNTY54K68,2752650000.0
2022,29,"LEIDOS, INC.",UE9QJD4KK1L6,2721521645.24
2022,30,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,2706417045.53
2022,31,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,2615042095.69
2022,32,CALIFORNIA INSTITUTE OF TECHNOLOGY,YC1YP79BFD19,2562723921.23
2022,33,UT-BATTELLE LLC,ZLHJJ57QA2H8,2469183699.41
2022,34,OKINAWA IDEMITSU K.K.,JA8GWB6NWKC5,2375103685.54
2022,35,NATIONAL STEEL AND SHIPBUILDING COMPANY,Q85KVUK3JBF5,2238888587.11
2022,36,"CADDELL CONSTRUCTION CO. (DE), LLC",ELJMJND6DDF3,2227126852.51
2022,37,"KBR SERVICES, LLC",YSQMHRS4HSC5,2127136495.69
2022,38,"BECHTEL PLANT MACHINERY, INC.",MTKMVNVK1MH6,2119405964.0
2022,39,SPACE EXPLORATION TECHNOLOGIES CORP.,C6M7C2FLKER5,2117355370.09
